Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_19_991.jpg;-10.50015;1;0;0.721854;99.89569;85.90506;1.20298;54.54953;0.003590242
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_20_057.jpg;-13.50914;1;0;0.789039;99.92696;85.94126;1.185992;53.70432;0.005061587
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_20_124.jpg;-15;1;0;0.8477951;99.96143;85.97912;1.196468;52.75683;0.0001360731
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_20_191.jpg;-15;1;0;0.895317;100.0114;86.03184;1.205497;51.37642;0.001473886
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_20_258.jpg;-15;1;0;0.9469872;100.0518;86.07278;1.197318;50.30803;0.003833293
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_20_324.jpg;-12.00731;1;0;1.006722;100.0949;86.11568;1.205221;49.40133;0.004041058
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_20_391.jpg;-9.001161;1;0;1.062415;100.1556;86.17616;1.21923;48.44514;0.003485199
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_20_457.jpg;-6.030657;1;0;1.105377;100.2034;86.22421;1.231984;47.89787;0.002953165
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_20_524.jpg;-3.002535;1;0;1.170852;100.2525;86.27455;1.233069;47.54861;0.00154841
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_20_590.jpg;-0.02769314;1;0;1.219484;100.3198;86.34576;1.228429;47.35952;-0.0002283035
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_20_657.jpg;0;1;0;1.266497;100.3722;86.40211;1.232021;47.31965;-0.0007620891
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_20_724.jpg;0;1;0;1.327872;100.4265;86.46056;1.235549;47.29438;-0.0008685164
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_20_791.jpg;0;1;0;1.375146;100.502;86.54171;1.24169;47.26347;-0.0007922745
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_20_858.jpg;0;1;0;1.422369;100.5609;86.60497;1.247261;47.24789;-0.0009031597
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_20_924.jpg;0;1;0;1.486122;100.6217;86.67026;1.250609;47.23539;-0.0009205872
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_20_991.jpg;0;1;0;1.532883;100.7059;86.76049;1.256694;47.21985;-0.0009728423
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_21_058.jpg;0;1;0;1.57841;100.7712;86.83051;1.258687;47.20948;-0.0009625952
